Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
V24,0,0,0,0,0,0,0,0,0.17477657788912,0,0,0,0.10125112789983,0,0,0,0,0.25077598046954,0,0.12535266570139,0.15851629397559,0.18921167572801,0,0.999999994426454,0.494443572562769
V25,0,0.16356382298118,0,0.16664123080406,0,0,0,0.071495658935869,0,0,0,0,0,0.21003275132714,0,0.075336194933261,0,0.312781419545,0,0,0,0,0,0.9999999954440609,0.5110465818076183
V26,0,0,0,0.4711517207367,0,0,0,0,0.52867355521549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999960437879,0.2452405649257054
V27,0,0.5090382186389,0,0,0.24269176967491,0,0,0,0,0,0,0,0,0.24820262131457,0,0,0,0,0,0,0,0,0,0.9999999977282722,0.4136039097071462
V28,0.0001,0.35760846331969,0.40261793007716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12490649005146,0,0,0.11466939738849,0,0,0.9999999922583335,0.1667728706978714
V29,0.19441140053988,0,0,0,0,0,0,0.18406117015508,0.16541402326733,0.04874713776391,0,0,0.13736557483011,0,0,0,0,0,0,0,0.19338219064755,0.0764247834793,0,0.999999991262867,0.5113421376593507
V30,0,0,0.1869771056749,0,0,0.15092611913682,0,0,0,0,0,0,0,0,0,0,0,0.33607753657935,0.3258798665628,0,0,0,0,0.9999999939538567,0.4671802234628868
V31,0,0,0,0.0001,0,0.1497648652298,0.072253851898503,0,0.29681447657368,0,0,0,0,0.090124607334687,0.31826744483028,0.072575021984792,0,0,0,0,0,0,0,0.9999999933901922,0.37581877972795596
V32,0,0,0,0.16089087253587,0.18477758770229,0,0.076553091710362,0.25456009116111,0,0,0.1852880335755,0,0,0,0,0,0,0,0.13781597258749,0,0,0,0,0.9999999956079939,0.414030539687236
V33,0,0,0.17828139629266,0.2527308309733,0,0,0.15642212998329,0,0.24893305143166,0,0,0,0,0,0.079037039870409,0.084477927880322,0,0,0,0,0,0,0,0.9999999946568671,0.47903952293983204
V34,0,0,0,0.14725335520492,0.13491606970848,0.0001,0,0.11210480497292,0,0.2076544301454,0.089097740042138,0,0,0.13187393202984,0,0,0,0.05378456159204,0.12317310344494,0,0,0,0,0.999999996191985,0.4736486320837074
V35,0,0.067931808311339,0.13030991780889,0.083071413743268,0.15777482536879,0.15903527913414,0,0,0,0,0,0,0,0.12293245159596,0,0,0,0.18167740449163,0,0.097174382309358,0,0,0,0.999999998020025,0.5335516510331364
V36,0,0,0.18764015090712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63306858723808,0,0,0.17904450301672,0,0.9999999888585684,0.31620628471582996
V37,0,0,0,0.22398675640257,0.23023451518074,0,0.15533492283482,0,0,0.080042569874491,0,0,0,0,0,0,0,0.16843881726369,0,0.14184294802757,0,0,0,0.999999995426256,0.48054377197950404
V38,0,0,0,0.13678019615397,0.1957445028485,0,0.12494446708467,0.047718653359196,0,0.098103905935506,0,0,0,0.098066872723175,0,0.15340486806709,0.14519200558833,0,0,0,0,0,0,0.999999997276633,0.5560684907781589
V39,0,0,0.089962071215051,0.18876198071873,0,0.11657807077954,0,0,0,0,0.18246047680762,0,0,0.16126602053421,0,0,0.10608035995197,0.078376507942278,0.076451026110148,0,0,0,0,0.9999999980948149,0.5504455464316786
V40,0,0,0.16083727704133,0.10183386270522,0,0,0,0,0,0,0,0,0,0,0,0.16213329439528,0,0.19824177561036,0,0,0,0.37681009776721,0,0.9999999958972575,0.4216260898342737
V41,0,0.17561358237949,0,0,0,0.1400151818758,0,0,0,0,0,0,0,0,0.1619159766011,0.24079585748,0.28157653365676,0,0,0,0,0,0,0.9999999974059204,0.5354133312631658
