Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
V787,0,0.0084683829329106,0,0.19076552758986,0,0.00150290803614,0,0.0042574754416504,0,0,0.17160142724103,0.025553544347531,0.56038810831648,0,0.0001,0.0086364735831223,0.0009,0,0,0.020499513914064,0.0044024270038613,0.002952587726173,0,0.6144140351500796,0.7902199210264756
V788,0,0.012395898074011,0.27212119112735,0.0073224366970891,0,0.30512451491994,0,0.0057024618061164,0,0,0,0.025839894145333,0.0004,0,0,0.0089466049302843,0,0.0073946966279587,0,0.0011187120138578,0.35315198609387,0.0005,0,0.4467017751593329,0.9016558181197383
V789,0,0.0064600735158281,0,0,0.0095561600911168,0.23185864229241,0,0.17498308219118,0.001571456639872,0.33518980635844,0,0,0,0.033295561215798,0,0.19267923513136,0,0.0007,0.0042595870783254,0.0046837480594681,0.0026025833192486,0.0021764937803848,0,0.4412997177000809,0.9033243423990167
V790,0.12127535738587,0.051078247621317,0,0.14301162562063,0.13511864539858,0.0065091252178383,0,0,0.0079350522438165,0.10941984210411,0.14714159414853,0.0079015672366822,0,0.15474298878211,0,0,0.001008878113462,0.0040943274916301,0.014263724896948,0.096132771951205,0.0001,0.0002,0,0.527073343992947,0.8491948210662034
V791,0,0.010676650315846,0.0042945020613466,0.4474286246767,0,0.028147831357902,0,0.49397029018743,0,0.0040097303481532,0,0.0019455741246608,0,0.0022042575460297,0.0042349147423233,0,0.0010700291384013,0,0.0019462990500521,0,0,0.0001,0,0.627124149636533,0.7867505409536676
V792,0.0036474092514068,0,0.0013695565914104,0.14832493169823,0.010681366702229,0,0.10296412620147,0.00454075629527,0.085241649448514,0.099132734454939,0.069968061960569,0.016830941281859,0.0027471806192106,0.001,0.0004,0,0.14379760154273,0.15745853710216,0,0.018196397759306,0.13017250315193,0.0035058610799031,0,0.5129464053931746,0.8598398028052908
V793,0.42394299289393,0,0.0002,0,0.0047757020968581,0.01106290388277,0.021728138508376,0,0,0,0.011504098825519,0,0.35334515073051,0,0.0036337414561876,0.00105701475417,0,0,0.01341018402423,0,0.0033664822425929,0.15201103689679,0,0.5349048964810875,0.8482652622190636
V794,0,0,0.20833558530354,0,0.010572156646028,0,0.21541815886979,0.0016949641327792,0.15049225457383,0,0.0049371286413784,0.0015916194489216,0.0042890995565063,0.0037893280675475,0.0004,0,0,0,0.22526174250146,0,0.17320930165299,0,0,0.3062593344919303,0.9651956050860252
V795,0,0.0014619829227055,0,0,0,0.0086359347469636,0,0.015581234326838,0,0.013607536594872,0,0.0010891626585271,0,0.0081727059065709,0.0004,0,0,0.19515341795924,0.32290856281689,0,0,0.43299085914311,0,0.5058455318139333,0.8734560638604747
V796,0.016654086329415,0,0.016989752678209,0,0.0038404024247514,0,0.43056224693449,0,0.0002,0.47683848197201,0,0,0.021620568366106,0,0,0.007646922846773,0,0.0010155376977126,0,0.024610114193999,0,0,0,0.6045146654159503,0.7960963748283583
