"B cells"	"Interferon"	"Macrophages"	"Monocytes"	"Neutrophils"	"NK cells"	"Plasma cells"	"Proliferation"	"T cells"	"Translation"
"X910932"	3.36743781717912	4.55569042654262	4.11876425195689	4.75651308352068	3.48584435121679	NA	3.09967200574656	4.76129520544876	3.24454739759333	9.92081375336929
"X908467"	3.23635788618856	4.47965768357007	3.32558446618103	3.97676418430672	3.51724038213966	NA	3.23649679935441	8.16585921828225	3.24620388424127	9.75016065673889
"X1290724"	3.01856892923482	5.67808875354982	3.49118078782259	4.28843022699793	3.72191404327729	NA	3.03617543032837	7.43706512653852	3.24624621182533	9.72559130623477
"X753578"	3.09016998391237	5.69954557751081	3.91780355326626	4.56072718067594	3.65200414149497	NA	3.16582089184431	4.79251140694433	3.24635903004514	10.0372339472776
"X1322224"	3.11661562695079	4.20434504276553	3.47971131746842	4.10150527821918	3.46874254872069	NA	3.09547450355759	6.84026774682694	3.24700930239754	10.1287308087295
"X909757"	3.1293492096902	4.18387754587278	3.5124896630908	4.27372482674632	3.48117852227091	NA	3.23228222286939	7.35988451076732	3.2470726981573	10.1347731130087
"X910946"	3.32778186596292	4.72641648192455	3.59878358945854	4.38955232096977	3.22130517535455	NA	3.05450288351386	7.05553245947975	3.24712854220893	9.69801894398889
"X1298136"	3.07267483394441	6.0257114641598	3.65652062137499	4.27187659291571	3.34061046262845	NA	3.00504349302402	6.46824776439947	3.24728893779513	10.1727011651742
"X1240200"	3.12247352385488	4.23373491651103	3.5809733587645	4.29534844805631	4.3005606029131	NA	3.10717999078218	6.50226269745104	3.24730317486386	9.78372646338666
"X924151"	3.12818886515325	5.47860445268258	3.67461353799524	4.38554723066225	3.50690025746699	NA	3.03733867043534	6.02360323361735	3.24751480684506	9.95151972964399
"X753584"	3.07861311135405	5.16489702991455	3.53695205418445	4.40776146028078	3.60333838840306	NA	3.27812398263334	7.87871461703268	3.24752066293073	9.53758385099328
"X906792"	3.09326926421602	4.8281803132509	3.96080097738444	4.45194390389979	3.16019149750991	NA	3.07102926017674	7.20128220720736	3.24836698434338	9.79089833905291
"X971777"	3.44124273546467	4.79487317407646	4.29690105441764	4.38495440219003	3.42003560802295	NA	3.16825584274406	7.54636352472828	3.24840212504886	9.95380257563682
"X1503366"	3.16774718736954	5.6460413357239	3.87143965579784	4.37631345643575	3.49049756261867	NA	3.20683220733048	7.10536121867662	3.24882182584845	9.56769072138128
